demo,crt,diff_demo_crt_s,fp_demo_crt,rme,diff_demo_rme_s,fp_demo_rme,fp_crt_rme,answers,diff_answers_s,method
96H1P_LeA3KEtXuXHntsK5Yt3R2DVPOV,96H1P_LeA3KEtXuXHntsK5Yt3R2DVPOV,1.1000001430511475,False,96H1P_LeA3KEtXuXHntsK5Yt3R2DVPOV,0.11600017547607422,False,False,LTCE69cKBKyJ_i5Upv3I35aUjQNfuyS9,0.44099998474121094,hungarian
fEmwzugltwymRlvglSDgqF6CGIDxWUWG,fEmwzugltwymRlvglSDgqF6CGIDxWUWG,0.004999876022338867,True,fEmwzugltwymRlvglSDgqF6CGIDxWUWG,0.30699992179870605,True,True,7Ql0mHSeLK4gpWN7Gfhe12nnjBLxS8BG,0.026999950408935547,hungarian
Bq3QSsMKcVlwCpSTgW2pi57Clm9CUmFB,Bq3QSsMKcVlwCpSTgW2pi57Clm9CUmFB,0.12299990653991699,True,Bq3QSsMKcVlwCpSTgW2pi57Clm9CUmFB,0.21600008010864258,True,True,UStd39eQAuaXjVjAGolicpHnfVUnsEa6,0.13400006294250488,hungarian
brkGXdXYpRB-o-AlfLlhPC4j6yRl7uoh,brkGXdXYpRB-o-AlfLlhPC4j6yRl7uoh,0.8399999141693115,True,brkGXdXYpRB-o-AlfLlhPC4j6yRl7uoh,1.695000171661377,True,True,MfPKi0u_1T2AWMv4zydyaUyT73_Q95oA,0.9159998893737793,hungarian
NWWswxY807_618elHnTHijFxOCScp7O_,NWWswxY807_618elHnTHijFxOCScp7O_,0.22699999809265137,True,NWWswxY807_618elHnTHijFxOCScp7O_,0.18200016021728516,True,True,gaB1X_BP1mWtFoKEtIMcKM26NmyFqV2f,0.09299993515014648,hungarian
lxwWLs3mSjaXF-WK_zAWWd5ft8LGDi9n,lxwWLs3mSjaXF-WK_zAWWd5ft8LGDi9n,0.4179999828338623,True,lxwWLs3mSjaXF-WK_zAWWd5ft8LGDi9n,0.9009997844696045,True,True,9fEtoOM6wstGrQaSu4mnlnisAaosObr2,0.3859999179840088,hungarian
_JdbqOMliCLcWKvEpcE6B3pBBD1bo3rl,_JdbqOMliCLcWKvEpcE6B3pBBD1bo3rl,0.2760000228881836,True,_JdbqOMliCLcWKvEpcE6B3pBBD1bo3rl,0.562999963760376,True,True,hboIh_aUKJJm8JXZSTEHWa5LI0pM9jIg,0.22099995613098145,hungarian
zu0s1QKH7hcTR_UKFSMzqTFr7vkms-Rg,zu0s1QKH7hcTR_UKFSMzqTFr7vkms-Rg,0.755000114440918,True,zu0s1QKH7hcTR_UKFSMzqTFr7vkms-Rg,0.21599984169006348,True,True,ab0v28AiR4-GL_yPUHpRg8_qVJMWDQgr,0.9270000457763672,hungarian
1GR3ORzDxmtRIQbTwEK2ObHJQUq-k_0X,QjrZzG8L3zm9BK56Dmb49j4cndvjRf76,0.22999978065490723,False,2igMjGjhJbvYCSVKCNvH4VQFdafHR32R,0.4139997959136963,False,False,ueBQC6mnaNuNjW36c25c95X1amM-hLWd,0.12999987602233887,hungarian
fOGS8tAAOLllqHY7A4vYFRYRNFEpT3ay,_oZDdxEp6tq-Ci7qptsiov6BlFgyk84e,0.5109996795654297,True,kvxnFl8sKkJ6723hSDUueMNu-Wv1Hj5A,0.07000017166137695,True,True,ZRSLslIFSKOpcaahqmKJrUAeEARbfJsi,0.5409998893737793,hungarian
OrBuU2LlCu_ytMBdaju4D2tI--tyKU4O,9MIfXFOThK1mgwKfTBQ_awj4RfFc88uZ,0.41899967193603516,True,ikGkpcu9U7OitoioS1UVBlZbmmE5qb5w,0.317000150680542,True,True,IOSRl05w9E8j4Sp3MvNE2lsqa1RtaGYP,0.48999977111816406,hungarian
3CDunQmZ44qC74cRe1CC5A7vplILkPs_,3EBkmhjFtRFrXy2RmBOkM_Aodi2AM8UD,0.06199979782104492,False,B3GGbez5cbCsLvl9C82Fdffnv_FRnscr,0.20200014114379883,False,False,8ysD1vOs8sIEOMzHN6ievVkR8LkyEPWp,0.26599979400634766,hungarian
eylZwbjSxOxxlTOL8aLJ_d0bHUoam3Qf,hcNXNyy6lsdAFlDOf_wTkUMtXemmRcVK,0.09400010108947754,True,3UXMMI3Qi3uXKvdNKTK-Pw7gXfLN6A-f,0.1679999828338623,True,True,ahfhD9-RLn3rBCAbUqt5kyN1vud411-W,0.48799991607666016,hungarian
-4xcE1A5uqnXhW71uIFcXXJu8TgSVEWw,NZf5DhMMeJ5h7iT799U1EC0agx7HD2gy,0.6770002841949463,False,eXrXlO0o34IYc7TI6l2Mob5Kr_L_R6IK,0.624000072479248,False,False,qmbeYGlLucEBltA_SCN1OsyTZSACcoCL,0.35000014305114746,hungarian
2YQemZqTiN6uEoA1TyeUNLlxaCJduL2y,ScVQBZKYErSc-TI44s90CpsIW3WEvMfL,0.9040000438690186,True,h7oACVWGjrC_jbWf5hxUxmLjeuy_qWtW,0.5800001621246338,True,True,3WyMxrmflh5IOsFKGyuK-FEnA6aBqyX3,0.031000137329101562,hungarian
kcaRP88_u3Knn5ruyrjcAIFAdXd7ZSC7,FjQ-Q6jMH06yrVE0D4UBOIK_pZLs_Z8T,0.1830000877380371,False,SceSw6iESZiVYS8yxJuVZIkQf9ykxVqI,0.2999999523162842,False,False,izXsJy3rViIWrVw1d_8qxkMg4BaiIPcK,0.3539998531341553,hungarian
nT4Pg9SCNr3vUk8benbXwk4-m8aEwU1b,5HrDnWS3FQruMhIEHGWVwrYFknxmxgFu,0.7209999561309814,True,yjTPPUvmwIh-XRFBIhcvCdy_RCGYLG7z,0.7219998836517334,True,True,XrzvD3gAJ7jZUWl6zHHReTzZspJ7LDaI,0.5999999046325684,hungarian
qVNMUepkgV7l3NAu2g0qYw8GmKQtzbpv,okV48eHXs8SUxwnvctrcXk3sQLvPkO69,0.025999784469604492,True,DrDL7Ork6EYCqUkD-z4KDRx6Ya35iglg,0.40000009536743164,True,True,OzTQ2V86TEPc6A625AVm7x10hfyOltBZ,0.7760000228881836,hungarian
NOmbZ2fmvTyJuq3JHaY9RDRLnYRWDRPd,b57XRR1J463mZOjzfcWuw-M06gSN9Afm,0.4309999942779541,True,-oKvFSRmy_YDXeLchLieNXgpUSwKr6GM,0.19900012016296387,True,True,OvS8wf4gqDb1z6kg1iovi0mgUYn3fRiz,0.5340001583099365,hungarian
ysyOMX6zDS2PW-z-jOt_7PG7r0Zz-KPi,DSHK0NNk6GhP0dGy7UAgy3PhWhH8LGNO,0.8840000629425049,True,FDRtR3GC68aSBzDEdR0_mYu2Krb1GnL3,0.21499991416931152,True,True,GTmhqJ9vBNFvOAmMzgxTTW_dSGKG75UY,0.24600005149841309,hungarian
HHwqv8bpAtfv6zItFAW7g1kgUXbLtMrq,vkwIBEiQ1gD0R6lqifTLXiQR_VU51NA_,1.4850001335144043,True,LkCfk26cnjSaC2MkBK_hz_2HVOcrS4Km,0.8439998626708984,True,True,D9Td0aQCVFjAEOsmOii5uGFqsUY41Kkh,1.123000144958496,hungarian
